File Name,LOC,LLOC,SLOC,Comments,Multi,Cyclomatic Complexity,Maintainability Index,h1,h2,hN1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time
41.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
115.py,5,5,5,0,2,74.14086516603763,3,5,8,4,6,10,8,30.0,1.8,54.0,0.01,3.0
33.py,7,6,7,0,5,74.0162866382603,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
97.py,4,4,4,0,1,76.91157973431449,2,5,7,3,6,9,7,25.26619429851844,1.2,30.319433158222125,0.008422064766172813,1.6844129532345624
124.py,35,29,30,0,21,46.498711976016,9,39,48,29,57,86,48,480.3067750620195,6.576923076923077,3158.9407129078973,0.1601022583540065,175.49670627266096
95.py,6,6,6,0,7,74.6280411059196,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
61.py,10,10,10,0,5,67.62349813031165,2,4,6,4,6,10,6,25.84962500721156,1.5,38.77443751081734,0.00861654166907052,2.1541354172676304
152.py,2,2,2,0,2,88.42299174457497,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
100.py,2,2,2,0,3,83.20923138640283,3,4,7,3,6,9,7,25.26619429851844,2.25,56.848937171666485,0.008422064766172813,3.158274287314805
63.py,10,10,10,0,4,63.91823457662,4,10,14,8,16,24,14,91.37651812938249,3.2,292.404858014024,0.03045883937646083,16.244714334112444
71.py,9,6,6,2,4,92.76398661919758,8,21,29,18,36,54,29,262.33097373688895,6.857142857142857,1798.8409627672384,0.08744365791229632,99.93560904262435
104.py,6,6,6,0,4,74.15078956223692,2,4,6,2,4,6,6,15.509775004326936,1.0,15.509775004326936,0.005169925001442312,0.861654166907052
44.py,6,6,6,0,2,71.69163788892672,4,5,9,4,8,12,9,38.03910001730775,3.2,121.72512005538482,0.012679700005769252,6.762506669743601
155.py,5,5,5,0,5,73.01538597083437,3,6,9,4,8,12,9,38.03910001730775,2.0,76.0782000346155,0.012679700005769252,4.226566668589751
93.py,13,13,13,0,4,63.276680386595075,3,7,10,5,10,15,10,49.82892142331044,2.142857142857143,106.77626019280808,0.016609640474436815,5.932014455156004
151.py,2,2,2,0,5,80.4470553489811,5,7,12,5,11,16,12,57.359400011538504,3.9285714285714284,225.34050004532983,0.01911980000384617,12.518916669184991
7.py,8,4,4,0,3,81.72183132055679,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
122.py,2,3,2,0,3,84.44724042799471,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
133.py,5,3,3,0,2,84.58174335197131,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
139.py,10,10,10,0,2,65.79951507324013,4,8,12,5,10,15,12,53.77443751081735,2.5,134.43609377704337,0.017924812503605784,7.468671876502409
5.py,8,7,6,0,3,79.05373698619428,1,1,2,1,1,2,2,2.0,0.5,1.0,0.0006666666666666666,0.05555555555555555
76.py,12,12,12,0,5,64.41227428401825,3,4,7,5,10,15,7,42.11032383086406,3.75,157.91371436574022,0.01403677461028802,8.772984131430013
67.py,6,6,6,0,1,74.88063052385614,1,4,5,2,4,6,5,13.931568569324174,0.5,6.965784284662087,0.004643856189774725,0.3869880158145604
42.py,2,2,2,0,2,88.42299174457497,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
3.py,10,8,8,0,3,71.88621556846499,2,3,5,2,4,6,5,13.931568569324174,1.3333333333333333,18.575424759098897,0.004643856189774725,1.0319680421721609
65.py,7,9,7,0,2,67.1718243110401,4,5,9,6,9,15,9,47.548875021634686,3.6,171.17595007788486,0.01584962500721156,9.509775004326936
1.py,18,17,16,0,6,59.443035817434776,3,7,10,7,14,21,10,69.76048999263462,3.0,209.28146997790384,0.02325349666421154,11.62674833210577
62.py,5,5,5,0,2,79.7423427057672,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
47.py,9,8,8,0,2,67.91350661200633,5,7,12,5,10,15,12,53.77443751081735,3.5714285714285716,192.0515625386334,0.017924812503605784,10.6695312521463
121.py,2,2,2,0,4,80.77781576413629,4,8,12,5,10,15,12,53.77443751081735,2.5,134.43609377704337,0.017924812503605784,7.468671876502409
75.py,29,27,27,0,7,51.13197892767855,9,20,29,17,33,50,29,242.89904975637864,7.425,1803.5254444411114,0.08096634991879288,100.1958580245062
147.py,15,7,9,3,3,90.73456076153573,5,33,38,21,42,63,38,330.61943334694587,3.1818181818181817,1051.9709242857368,0.11020647778231529,58.44282912698538
35.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
16.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
163.py,3,3,3,0,3,78.99861514145327,3,6,9,3,6,9,9,28.529325012980813,1.5,42.793987519471216,0.009509775004326938,2.377443751081734
23.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
50.py,6,4,4,0,4,72.40041467105789,3,16,19,8,16,24,19,101.95026032264605,1.5,152.92539048396907,0.03398342010754868,8.49585502688717
119.py,14,9,9,2,5,88.0578018478522,5,13,18,10,20,30,18,125.09775004326937,3.8461538461538463,481.145192474113,0.04169925001442312,26.730288470784057
14.py,5,4,3,0,2,81.85633424453339,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
60.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
134.py,9,9,9,4,5,98.34337192063656,2,3,5,4,4,8,5,18.575424759098897,1.3333333333333333,24.76723301213186,0.006191808253032966,1.3759573895628812
82.py,12,10,10,0,5,65.43410049125738,5,8,13,5,10,15,13,55.506595772116384,3.125,173.4581117878637,0.01850219859070546,9.636561765992427
2.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
157.py,3,3,3,0,1,77.4484663740452,3,8,11,5,10,15,11,51.89147427955947,1.875,97.296514274174,0.01729715809318649,5.405361904120777
66.py,2,2,2,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
57.py,2,2,2,0,2,83.34373431037945,2,5,7,3,6,9,7,25.26619429851844,1.2,30.319433158222125,0.008422064766172813,1.6844129532345624
26.py,13,9,9,0,3,74.03933453534945,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
